id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data,outcome
645,no,adult,528461,36.7,48,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,7,absent,distend_small,34,6.5,clear,2.6,no,0,0,0,no,lived
646,yes,adult,530001,39,88,24,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,5.3,decreased,distend_small,64,6.7,serosanguious,2.6,yes,2206,0,0,yes,died
647,yes,adult,533738,37.8,88,24,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,significant,more_1_liter,2,absent,distend_large,68,80,clear,1,no,2205,0,0,no,euthanized
648,yes,young,529518,38,128,48,cool,reduced,pale_cyanotic,less_3_sec,,hypomotile,moderate,significant,more_1_liter,4.2,,,35,7.2,serosanguious,4.5,yes,3025,0,0,yes,died
649,no,adult,528996,38.5,44,12,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,7,normal,firm,43,7.5,clear,8.1,no,0,0,0,yes,lived
650,no,adult,529663,40.3,114,36,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,,,7,absent,distend_small,57,8.1,serosanguious,4.5,yes,7400,0,0,yes,died
651,yes,adult,528743,37.1,75,36,,reduced,pale_pink,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,5,absent,distend_small,48,7.4,serosanguious,3.2,yes,12208,0,0,yes,lived
652,yes,adult,527463,37.1,84,24,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,5,absent,distend_small,73,5.5,serosanguious,3.7,yes,5400,0,0,yes,died
653,yes,adult,529493,38.3,54,10,normal,increased,pale_pink,less_3_sec,depressed,hypomotile,,slight,more_1_liter,6.5,decreased,other,48,7.2,serosanguious,3.3,no,5400,0,0,no,died
654,yes,adult,528630,37.7,72,28,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,7,absent,distend_large,36,5,serosanguious,3.9,yes,3205,0,0,yes,lived
655,yes,adult,534925,38.5,72,28,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,,more_1_liter,2,absent,distend_small,75,81,clear,2,no,2111,0,0,yes,lived
656,yes,adult,535292,39.2,88,32,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,4,absent,distend_large,66,84,serosanguious,2,yes,4205,0,0,yes,lived
657,yes,adult,528548,38.8,66,12,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,,slight,,3,increased,distend_large,44,6,cloudy,3.6,yes,2124,0,0,yes,lived
658,yes,adult,534787,39.3,44,12,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,2,normal,distend_large,51,51,clear,2,yes,2206,0,0,no,lived
659,yes,adult,534784,37.2,36,16,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,,more_1_liter,2,decreased,normal,37,75,cloudy,2,no,2322,0,0,no,euthanized
660,yes,adult,5297159,37.8,84,36,,,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5,normal,distend_large,32,6,cloudy,4.3,yes,5206,0,0,no,euthanized
661,yes,adult,529160,37.8,72,30,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,,more_1_liter,2,decreased,distend_small,52,75,serosanguious,2,yes,3205,0,0,no,lived
662,yes,adult,533696,38.7,88,24,cold,,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2,,,46,75,cloudy,1,no,3205,0,0,no,euthanized
663,no,adult,529865,37.7,52,16,normal,normal,bright_pink,less_3_sec,alert,,,slight,more_1_liter,5.7,normal,firm,28,6.5,clear,5.3,no,0,0,0,yes,lived
664,yes,adult,529865,38,72,30,normal,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,,slight,,3.5,normal,distend_large,37,4.5,serosanguious,3.5,yes,6209,0,0,yes,died
665,yes,adult,534519,39.3,84,40,cool,reduced,pale_pink,less_3_sec,depressed,absent,,,more_1_liter,2,absent,distend_large,75,81,cloudy,2,no,1400,0,0,no,euthanized
666,yes,adult,529849,38.6,54,14,normal,normal,pale_pink,less_3_sec,mild_pain,normal,slight,slight,,7,increased,normal,38,6.3,clear,3.9,yes,5400,0,0,yes,lived
667,yes,adult,529424,38.4,80,24,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,,less_1_liter,7.5,absent,distend_small,52,6.5,serosanguious,4.3,yes,4205,0,0,no,died
668,no,adult,528890,37.5,108,16,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,5.4,absent,distend_large,54,7.5,cloudy,4.7,yes,11300,0,0,yes,died
669,no,adult,533736,38.6,100,68,normal,,pale_pink,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2,absent,distend_large,52,80,serosanguious,2,yes,3205,0,0,no,euthanized
670,no,adult,530028,38.1,112,24,cold,reduced,bright_red,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5,absent,distend_small,60,7.5,cloudy,2.6,no,2300,0,0,yes,euthanized
671,yes,adult,529172,38.1,84,24,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,slight,slight,more_1_liter,5.4,increased,distend_small,33,7.4,serosanguious,1.3,yes,2112,0,0,yes,lived
672,yes,adult,534784,37.5,72,30,cold,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,,more_1_liter,2,normal,distend_large,52,75,serosanguious,2,yes,3205,0,0,no,euthanized
673,yes,adult,530693,38.6,40,24,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,,7,absent,distend_large,42,6.6,cloudy,2,yes,31110,0,0,yes,lived
674,yes,adult,528548,38.1,66,12,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,,,,3,normal,distend_large,44,6,cloudy,3.6,yes,31110,0,0,no,lived
675,no,adult,527365,38,80,30,warm,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,7,absent,distend_small,45,8.1,serosanguious,2.2,no,3207,0,0,yes,died
676,yes,adult,535208,39.2,108,24,cool,reduced,pale_cyanotic,more_3_sec,depressed,distend_small,moderate,significant,more_1_liter,2,,distend_small,55,85,serosanguious,2,yes,3209,0,0,no,euthanized
677,yes,adult,530255,38.5,88,20,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,5.5,absent,distend_small,47,7.5,cloudy,4.5,yes,3205,0,0,no,died
678,yes,adult,5301219,40.3,60,30,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,4.5,,normal,46,7.2,serosanguious,2.6,yes,1400,0,0,no,died
679,yes,adult,528178,37.6,88,20,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,3,normal,,68,7.2,serosanguious,4.1,yes,2205,0,0,no,died
680,no,adult,529304,38,40,28,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,less_1_liter,4.5,increased,firm,49,7.2,clear,5,no,0,0,0,no,lived
681,no,adult,534626,37.8,52,16,warm,reduced,normal_pink,more_3_sec,mild_pain,hypomotile,slight,,more_1_liter,2,normal,,52,7.5,cloudy,2,no,4206,0,0,yes,euthanized
682,no,adult,528890,38.3,54,16,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,5,decreased,firm,36,6.6,clear,3.5,no,0,0,0,yes,lived
683,yes,adult,534787,38.6,60,16,warm,normal,pale_pink,less_3_sec,,hypomotile,slight,slight,more_1_liter,4,,distend_large,39,60,serosanguious,2,yes,3207,0,0,yes,lived
684,yes,adult,533928,36.5,84,40,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,significant,,2,decreased,distend_large,37.5,75,serosanguious,1,yes,7111,0,0,no,euthanized
685,yes,adult,527544,38.2,52,12,cold,,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,,7,decreased,distend_small,45,8.6,serosanguious,3.6,yes,2206,0,0,yes,died
686,yes,adult,533836,39.2,98,28,cold,reduced,normal_pink,less_3_sec,extreme_pain,absent,moderate,slight,less_1_liter,2,absent,distend_small,65,64,cloudy,2,yes,2205,0,0,no,lived
687,yes,adult,530360,38.4,60,40,warm,normal,,less_3_sec,severe_pain,hypomotile,slight,,less_1_liter,4.5,absent,distend_small,50,4.7,serosanguious,4.1,yes,2208,0,0,yes,died
688,no,adult,533696,37.8,44,12,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,moderate,,less_1_liter,6.5,normal,normal,34,65,clear,1,no,3111,0,0,yes,lived
689,yes,adult,529461,38.5,88,12,warm,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,less_1_liter,4,absent,distend_small,40,6.6,serosanguious,3.2,yes,2208,0,0,yes,died
690,no,adult,529399,37.2,88,12,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,significant,less_1_liter,4,absent,distend_small,45,5.5,serosanguious,4.3,yes,2208,0,0,yes,died
691,yes,adult,529461,40.3,114,36,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,,7,normal,distend_small,57,8.1,serosanguious,4.5,yes,3205,0,0,no,died
692,no,adult,527702,37.7,84,20,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,,more_1_liter,6,,,52,6,serosanguious,3.9,yes,2209,0,0,no,euthanized
693,yes,adult,5299253,37.4,54,36,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,,,3,increased,distend_large,44,6.1,serosanguious,2.6,yes,2113,0,0,no,died
694,yes,adult,527544,38.4,124,40,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,,more_1_liter,7.5,normal,,57,8.5,serosanguious,7,no,2112,0,0,yes,died
695,no,young,529498,40.3,114,36,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,,,4.3,absent,,50,8.1,serosanguious,7,no,4205,0,0,yes,died
696,no,adult,529424,38.3,52,20,warm,normal,normal_pink,less_3_sec,alert,hypermotile,,slight,more_1_liter,5.4,normal,normal,43,6.4,clear,7.2,no,0,0,0,yes,lived
697,yes,adult,530239,38.2,48,32,normal,,bright_pink,less_3_sec,alert,hypomotile,,slight,,3,decreased,other,47,7.5,cloudy,2.6,yes,3113,0,0,no,lived
698,yes,adult,527563,38.2,66,12,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,,3,absent,distend_small,30,6.6,cloudy,3.6,yes,31110,0,0,yes,lived
699,yes,adult,534163,37.9,92,24,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,,,2,normal,distend_large,65,50,serosanguious,2,yes,3205,0,0,no,euthanized
700,no,adult,533692,38,44,16,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,,slight,more_1_liter,2,decreased,normal,33,63,clear,3.4,no,2300,0,0,yes,lived
701,yes,adult,534293,38,88,20,,,dark_cyanotic,less_3_sec,,hypomotile,moderate,significant,more_1_liter,2,,distend_small,65,82,,1,no,2209,0,0,no,euthanized
702,no,adult,530242,38.4,108,51,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,,,7.5,decreased,normal,59,8.2,cloudy,2.6,no,4300,0,0,yes,lived
703,yes,adult,5287179,37.2,68,16,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,significant,,7,decreased,distend_large,48,8.6,serosanguious,6.3,yes,4205,0,0,yes,lived
704,yes,adult,533696,38,129,30,normal,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,less_1_liter,2,,,64,82,serosanguious,2,no,1400,0,0,no,euthanized
705,yes,adult,528461,38,112,44,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,4.4,decreased,distend_large,60,6.1,cloudy,2.8,yes,4205,3111,2209,yes,lived
706,no,adult,529373,38.6,48,32,normal,normal,normal_pink,less_3_sec,alert,hypomotile,,slight,,6.5,,other,49,7.3,clear,2,no,3111,0,0,yes,lived
707,yes,adult,530001,38.5,96,16,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,,less_1_liter,6.5,absent,distend_small,63,6.7,serosanguious,3.4,yes,2208,0,0,no,died
708,yes,adult,5290409,38.5,64,36,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,6,absent,distend_small,48,7.5,,2,yes,2208,0,0,no,died
709,no,adult,534478,37.2,108,40,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,,,slight,more_1_liter,2,,distend_small,53,51,serosanguious,2,no,2208,0,0,no,euthanized
710,yes,adult,534519,38.5,86,51,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,severe,,more_1_liter,2,absent,,65,75,serosanguious,2,yes,2205,0,0,no,euthanized
711,yes,adult,528570,37.5,60,30,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,3.5,,distend_small,35,6,cloudy,2,yes,2209,0,0,no,died
712,yes,adult,529461,38.3,112,14,cool,normal,bright_red,less_3_sec,depressed,absent,slight,slight,more_1_liter,7,normal,distend_small,57,8.1,serosanguious,4.5,yes,2208,0,0,no,died
713,no,adult,529461,40.3,114,36,cool,reduced,normal_pink,more_3_sec,severe_pain,hypomotile,moderate,slight,,7,normal,,57,7.4,serosanguious,4.5,yes,2205,0,0,yes,euthanized
714,yes,adult,533942,38.2,76,20,normal,normal,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,,7,,distend_large,46,46,clear,2,yes,3205,0,0,yes,euthanized
715,yes,adult,528620,36,100,36,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,significant,more_1_liter,5.5,absent,distend_large,57,7.5,serosanguious,2,yes,2205,0,0,no,euthanized
716,yes,adult,528548,38.6,68,14,cold,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,,3,absent,distend_small,50,7.5,serosanguious,3.6,yes,2124,0,0,yes,lived
717,no,adult,530366,38.4,150,40,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,severe,significant,less_1_liter,2,absent,distend_large,48,6.5,serosanguious,2,no,1400,0,0,no,lived
718,yes,adult,527518,36.2,114,36,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,hypomotile,,,more_1_liter,6.5,normal,normal,45,7.5,cloudy,1.3,yes,11400,0,0,no,died
719,yes,young,5290402,39.8,120,20,cold,absent,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,,more_1_liter,4,,,36,4.9,serosanguious,5,yes,2205,0,0,no,euthanized
720,yes,adult,534756,40.3,64,36,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,,,1,decreased,distend_small,41,54,serosanguious,2,yes,2209,0,0,no,lived
721,no,adult,530242,38.3,130,52,cool,reduced,bright_red,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.5,decreased,,63,7.5,serosanguious,3.9,yes,3205,0,0,no,euthanized
722,yes,adult,534938,38.3,88,16,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,more_1_liter,2,,distend_large,53,75,cloudy,2,no,3205,0,0,no,euthanized
723,yes,adult,528742,38.4,132,20,,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,,5,absent,distend_small,69,8.6,serosanguious,4.8,yes,2112,0,0,no,died
724,yes,adult,534756,38,104,24,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,more_1_liter,2,absent,distend_small,41,60,serosanguious,2,yes,2205,0,0,yes,lived
725,yes,adult,529640,38.6,72,30,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,significant,,4.5,,,45,6.2,cloudy,3.3,yes,2208,0,0,yes,lived
726,yes,adult,5288249,39.3,60,16,cool,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,7,absent,distend_small,37,4.7,serosanguious,3.4,yes,7111,0,0,yes,died
727,yes,adult,535240,38.3,96,36,cool,normal,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,,more_1_liter,2,absent,distend_large,65,69,serosanguious,2,yes,3205,0,0,yes,died
728,yes,adult,528641,38.5,66,21,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,,,,3.5,decreased,distend_small,44,7.6,cloudy,4.3,yes,2112,0,0,yes,lived
729,yes,adult,529272,38.1,44,24,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,4.5,normal,distend_small,39,6.6,cloudy,4.2,no,2205,0,0,yes,lived
730,yes,young,528702,39.4,114,36,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,,,4.4,decreased,,50,7,serosanguious,3.9,yes,2209,0,0,yes,died
731,no,adult,529796,38.6,50,12,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,3,decreased,firm,43,7.5,cloudy,2.6,no,3111,0,0,yes,lived
732,yes,adult,529667,39.3,129,48,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,,,2,absent,distend_small,57,46,serosanguious,2,yes,2113,0,0,yes,lived
733,yes,adult,534787,37.1,96,20,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2,absent,distend_large,41,81,serosanguious,2,yes,2205,0,0,no,euthanized
734,yes,adult,534925,38.2,76,24,cool,normal,bright_red,less_3_sec,,absent,,slight,more_1_liter,2,,distend_small,75,81,clear,2,yes,2112,0,0,no,lived
735,yes,adult,529518,37.9,50,16,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,3,decreased,distend_large,38,6.6,clear,3,yes,3115,0,0,no,lived
736,yes,adult,528548,38.1,66,16,cool,normal,bright_red,less_3_sec,depressed,hypomotile,,slight,,3,absent,distend_small,50,6.7,,3.6,yes,2124,0,0,no,lived
737,no,adult,528996,38,54,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,,slight,more_1_liter,5,normal,distend_large,42,6.6,clear,5,no,0,0,0,yes,lived
738,yes,adult,534519,37.7,84,32,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,,more_1_liter,2,decreased,distend_small,75,81,,1,no,0,0,0,no,lived
739,yes,adult,530242,38.2,64,40,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,3.4,decreased,distend_small,47,7.4,cloudy,3.4,yes,2209,0,0,no,lived
740,yes,adult,533871,38,86,24,,reduced,pale_pink,less_3_sec,,hypomotile,moderate,,more_1_liter,2,,distend_large,55,65,cloudy,1,no,7209,0,0,no,euthanized
741,yes,adult,528469,38.1,52,24,cool,normal,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,7,absent,distend_small,54,7.5,clear,2,yes,2112,0,0,no,died
742,no,adult,530334,38.3,52,12,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,5.5,decreased,firm,35,6.5,cloudy,5,no,0,0,0,yes,lived
743,no,adult,529777,39.1,88,32,normal,normal,dark_cyanotic,more_3_sec,depressed,absent,,slight,less_1_liter,7,absent,distend_small,68,7,clear,3.6,yes,2206,0,0,no,lived
744,yes,adult,528548,38.3,60,18,normal,reduced,pale_pink,less_3_sec,mild_pain,absent,slight,slight,,3,absent,distend_small,43,8.1,clear,3.6,yes,2124,0,0,yes,lived
745,yes,adult,534784,36,108,30,cool,reduced,normal_pink,less_3_sec,extreme_pain,absent,severe,,more_1_liter,2,absent,distend_large,66,81,serosanguious,2,yes,11400,0,0,yes,lived
746,yes,adult,529493,38.4,104,40,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,5.2,normal,distend_small,47,7,clear,3.6,yes,2209,0,0,yes,euthanized
747,yes,adult,534293,37.2,96,16,cool,reduced,pale_pink,less_3_sec,depressed,absent,,,more_1_liter,2,,distend_small,52,82,serosanguious,2,yes,2209,0,0,no,euthanized
748,no,adult,530431,37.5,48,16,normal,normal,pale_pink,less_3_sec,alert,hypomotile,,slight,,7,normal,,48,8.5,clear,1.3,no,2113,0,0,yes,lived
749,yes,adult,528247,39.6,66,14,cool,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4,absent,distend_small,44,6.5,cloudy,2.6,yes,2208,0,0,no,euthanized
750,yes,young,5292489,38.8,84,40,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,7,increased,normal,47,8,cloudy,3.9,yes,7111,0,0,no,lived
751,yes,adult,529386,38.5,112,24,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,7,absent,distend_large,52,6.4,serosanguious,4.9,yes,9400,0,0,no,lived
752,yes,adult,528641,38.1,66,20,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,,4.3,normal,distend_large,45,7.5,cloudy,2.6,yes,6111,0,0,yes,died
753,no,adult,535381,39.4,86,21,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,4,absent,distend_large,48,75,cloudy,2,yes,3205,0,0,no,euthanized
754,yes,adult,529667,38.3,48,12,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,5.3,absent,distend_small,46,6.1,cloudy,2.6,yes,2205,0,0,no,lived
755,no,adult,528890,38.9,54,24,normal,normal,pale_pink,less_3_sec,alert,normal,slight,slight,,7,normal,normal,49,8.5,cloudy,8,no,0,0,0,yes,lived
756,yes,adult,535166,38.2,130,16,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,severe,,more_1_liter,2,decreased,normal,46,66,serosanguious,2,yes,5111,0,0,no,lived
757,yes,adult,529183,38.3,56,84,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,1.5,absent,distend_small,36,6.5,cloudy,3.6,yes,7111,0,0,yes,died
758,yes,adult,535043,39,100,51,cold,absent,dark_cyanotic,less_3_sec,depressed,absent,,,less_1_liter,2,,distend_small,66,13,serosanguious,2,yes,2113,0,0,no,euthanized
759,yes,adult,528523,37.1,72,44,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,3,absent,distend_small,43,4.5,serosanguious,3.6,yes,2208,0,0,yes,died
760,yes,adult,5290409,38,86,24,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,,more_1_liter,4.5,absent,distend_large,65,7.6,serosanguious,3.4,yes,3205,0,0,no,died
761,no,adult,534787,38,36,16,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,slight,,2,decreased,,37,75,,1,no,3111,0,0,no,euthanized
762,yes,adult,5292489,38.4,84,32,normal,normal,pale_pink,less_3_sec,depressed,hypermotile,,slight,more_1_liter,7,decreased,firm,43,8.8,cloudy,5.3,yes,6111,0,0,yes,died
763,yes,adult,534917,38.8,44,12,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,4.4,absent,distend_small,40,67,cloudy,2,yes,2209,0,0,yes,lived
764,no,adult,528996,38.5,52,40,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,distend_large,36,6.6,clear,5,no,0,0,0,yes,lived
765,yes,adult,529667,39.5,64,40,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,,7,decreased,firm,39,6.5,cloudy,7.5,no,0,0,0,no,lived
766,yes,adult,535137,39.3,100,24,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,,,more_1_liter,2,,distend_small,66,66,serosanguious,2,yes,2113,0,0,no,lived
767,yes,adult,530478,37.6,42,40,normal,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,4,absent,distend_small,41,6.6,cloudy,4.1,yes,3205,0,0,yes,lived
768,yes,adult,533942,38.7,100,51,cool,absent,pale_pink,less_3_sec,depressed,absent,,slight,more_1_liter,2,,distend_small,66,13,serosanguious,2,yes,2205,0,0,yes,euthanized
769,yes,adult,529135,38.3,84,24,normal,normal,bright_red,less_3_sec,depressed,absent,severe,,more_1_liter,5,absent,distend_large,45,6.5,clear,4.9,yes,3205,0,0,no,died
770,no,adult,530242,37.2,108,12,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6,decreased,firm,52,8.4,,7.4,yes,2207,0,0,no,euthanized
771,yes,adult,528702,38.3,66,12,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,3,decreased,distend_small,44,6,serosanguious,3.6,yes,2208,0,0,yes,euthanized
772,yes,adult,533968,38,64,80,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,2,absent,distend_small,46,75,cloudy,1,yes,2113,0,0,no,lived
773,yes,adult,5294369,36.6,60,24,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,,,3,absent,distend_large,73,7.5,serosanguious,3.4,yes,4205,0,0,yes,died
774,yes,adult,527365,38,80,24,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,significant,more_1_liter,5.3,decreased,distend_large,68,4.5,cloudy,3.9,yes,7111,0,0,yes,died
775,yes,adult,528469,37.1,60,24,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,7,absent,distend_small,53,7.5,serosanguious,2.6,yes,2209,0,0,no,died
776,yes,adult,533696,37.1,60,12,cool,normal,pale_pink,less_3_sec,,absent,moderate,significant,less_1_liter,2,,,51,65,serosanguious,2,yes,3111,0,0,no,euthanized
777,no,adult,529461,40.3,114,36,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,,7,normal,distend_large,57,8.1,serosanguious,4.5,yes,3205,0,0,yes,died
778,yes,adult,528461,38.6,52,20,normal,normal,bright_red,less_3_sec,depressed,hypomotile,,,more_1_liter,5,normal,distend_small,47,7,cloudy,2.8,no,2205,0,0,yes,died
779,yes,adult,533871,38,100,16,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,,more_1_liter,2,decreased,distend_small,47,60,clear,2,no,1400,0,0,yes,died
780,no,adult,529386,39.3,66,16,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,,6.5,decreased,distend_small,40,7,serosanguious,5,no,2208,0,0,yes,euthanized
781,yes,adult,535166,39.3,120,80,cool,absent,pale_cyanotic,less_3_sec,severe_pain,hypomotile,,significant,more_1_liter,2,decreased,distend_large,53,65,cloudy,2,yes,3205,0,0,no,euthanized
782,yes,adult,529498,39.2,114,30,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,6.5,absent,distend_large,60,8.1,serosanguious,4.1,yes,2205,0,0,no,died
783,yes,adult,529386,39.1,64,21,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,,3,absent,distend_large,39,7.5,clear,3.6,yes,3207,0,0,yes,lived
784,yes,adult,535130,38.2,52,12,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,6.5,decreased,distend_small,41,66,clear,2,yes,2206,0,0,yes,lived
785,no,adult,534197,38.7,54,12,cool,normal,pale_pink,less_3_sec,alert,normal,,,more_1_liter,5,normal,normal,37,56,cloudy,2,no,0,0,0,no,euthanized
