Crop Type,Field Size (hectares),Planting Date,Soil Type,Fertilizer Used,Irrigation Type,Yield_t_per_ha
Wheat,0.63,05-10-2024,Alluvial,MOP,Furrow/Canal irrigation,3.697
Maize,2.2,15-10-2025,Clay,Urea,Drip Irrigation,3.985
Maize,1.62,20-07-2024,Silty,NPK,Flood Irrigation,3.522
Groundnut,2.31,26-05-2024,Loamy,NPK,Rainfed,1.25
Wheat,10.38,13-11-2025,Sandy,DAP,Rainfed,2.657
Maize,2.72,18-10-2025,Chalky,Urea,Rainfed,3.45
Groundnut,1.35,11-06-2024,Silty,Compost/Organic Manure,Sprinkler Irrigation,1.492
Onion,6.42,27-06-2025,Silty,Compost/Organic Manure,Flood Irrigation,21.902
Soybean,0.49,19-06-2023,Alluvial,MOP,Drip Irrigation,1.151
Rice,1.63,13-07-2024,Silty,NPK,Sprinkler Irrigation,5.314
Potato,0.3,14-07-2025,Chalky,Biofertilizers,Furrow/Canal irrigation,23.907
Soybean,0.95,02-06-2025,Loamy,NPK,Drip Irrigation,1.285
Sugarcane,2.29,28-01-2025,Sandy,NPK,Rainfed,67.769
Soybean,0.43,18-06-2024,Loamy,Urea,Sprinkler Irrigation,1.127
Cotton,9.88,10-05-2025,Alluvial,Ammonium Sulphate,Sprinkler Irrigation,0.547
Rice,3.79,22-07-2024,Clay,Biofertilizers,Drip Irrigation,4.898
Soybean,1.57,20-06-2025,Loamy,NPK,Rainfed,1
Maize,2.92,20-10-2024,Sandy,NPK,Furrow/Canal irrigation,3.598
Groundnut,0.37,02-06-2024,Alluvial,MOP,Rainfed,1.326
Rice,2.57,05-06-2025,Laterite,NPK,Furrow/Canal irrigation,4.661
Groundnut,0.17,17-05-2024,Alluvial,Urea,Rainfed,1.202
Groundnut,0.99,20-06-2025,Sandy,DAP,Furrow/Canal irrigation,1.194
Maize,0.28,14-10-2025,Loamy,Biofertilizers,Flood Irrigation,3.874
Rice,0.83,02-07-2025,Silty,MOP,Rainfed,4.193
Sugarcane,1.11,01-02-2025,Loamy,Urea,Rainfed,102.209
Potato,1.55,09-07-2024,Alluvial,Urea,Drip Irrigation,25.729
Rice,5.14,26-07-2025,Loamy,Compost/Organic Manure,Flood Irrigation,4.845
Rice,3.91,05-06-2024,Silty,Compost/Organic Manure,Furrow/Canal irrigation,4.674
Groundnut,0.57,22-05-2025,Clay,MOP,Sprinkler Irrigation,1.332
Groundnut,4.31,25-06-2023,Laterite,Urea,Rainfed,1.226
Maize,4.15,13-09-2025,Peaty,NPK,Flood Irrigation,3.659
Cotton,0.83,13-07-2023,Peaty,Biofertilizers,Rainfed,0.391
Rice,0.27,20-07-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,4.229
Wheat,2.47,13-12-2024,Clay,Ammonium Sulphate,Flood Irrigation,2.825
Sugarcane,0.95,11-10-2025,Silty,Ammonium Sulphate,Furrow/Canal irrigation,94.694
Rice,3.56,12-07-2025,Loamy,DAP,Sprinkler Irrigation,5.37
Rice,0.38,20-06-2023,Silty,Ammonium Sulphate,Drip Irrigation,5.896
Potato,2.99,04-10-2024,Chalky,DAP,Rainfed,17.952
Onion,0.48,25-11-2025,Clay,Compost/Organic Manure,Furrow/Canal irrigation,17.995
Wheat,0.42,25-11-2025,Sandy,NPK,Furrow/Canal irrigation,3.045
Wheat,1.02,16-10-2024,Alluvial,DAP,Flood Irrigation,3.512
Soybean,1.23,07-06-2024,Silty,Urea,Rainfed,0.964
Wheat,0.85,24-12-2023,Loamy,NPK,Furrow/Canal irrigation,2.997
Rice,0.32,09-07-2025,Loamy,DAP,Flood Irrigation,4.987
Rice,2.15,28-07-2024,Laterite,Compost/Organic Manure,Drip Irrigation,4.731
Wheat,2.2,04-11-2025,Silty,Biofertilizers,Flood Irrigation,2.782
Sugarcane,0.43,03-02-2024,Loamy,Compost/Organic Manure,Flood Irrigation,89.667
Potato,10.64,18-06-2025,Sandy,NPK,Sprinkler Irrigation,23.21
Sugarcane,0.22,16-11-2025,Sandy,MOP,Furrow/Canal irrigation,76.917
Rice,0.36,16-06-2023,Clay,Compost/Organic Manure,Rainfed,3.473
Maize,0.82,02-09-2025,Loamy,DAP,Furrow/Canal irrigation,4.32
Maize,0.23,22-07-2025,Alluvial,NPK,Furrow/Canal irrigation,4.059
Wheat,1.52,16-10-2023,Silty,NPK,Furrow/Canal irrigation,3.112
Rice,2.06,10-06-2023,Laterite,Urea,Rainfed,3.923
Potato,1.6,04-10-2025,Clay,Compost/Organic Manure,Flood Irrigation,19.283
Potato,4.45,11-07-2024,Loamy,Ammonium Sulphate,Rainfed,21.852
Wheat,1.29,06-12-2025,Loamy,Urea,Sprinkler Irrigation,3.598
Maize,1.17,08-10-2025,Alluvial,Urea,Drip Irrigation,4.082
Potato,3.62,01-01-2024,Alluvial,Urea,Drip Irrigation,29.266
Onion,0.12,23-11-2024,Loamy,Urea,Flood Irrigation,26.421
Maize,1.18,20-06-2025,Loamy,NPK,Furrow/Canal irrigation,4.195
Soybean,0.7,18-06-2024,Loamy,Urea,Rainfed,1.029
Rice,2.96,15-06-2025,Laterite,MOP,Flood Irrigation,3.99
Rice,0.58,16-07-2025,Loamy,Ammonium Sulphate,Drip Irrigation,4.975
Soybean,0.12,11-06-2024,Silty,Compost/Organic Manure,Rainfed,0.85
Rice,1.69,06-06-2025,Laterite,NPK,Drip Irrigation,4.792
Potato,1.31,14-02-2024,Loamy,Ammonium Sulphate,Flood Irrigation,22.54
Groundnut,0.89,24-05-2024,Clay,DAP,Furrow/Canal irrigation,1.374
Rice,2.77,05-07-2023,Loamy,MOP,Sprinkler Irrigation,4.36
Maize,1.1,09-10-2025,Loamy,Urea,Rainfed,3.48
Rice,1.33,15-07-2024,Clay,Compost/Organic Manure,Sprinkler Irrigation,4.602
Wheat,6.32,20-12-2025,Alluvial,MOP,Rainfed,3.02
Wheat,3.19,28-11-2025,Alluvial,MOP,Furrow/Canal irrigation,3.724
Wheat,1.25,08-10-2025,Loamy,MOP,Furrow/Canal irrigation,3.241
Soybean,0.69,14-06-2025,Alluvial,Urea,Rainfed,1.003
Groundnut,2.13,16-06-2024,Laterite,Ammonium Sulphate,Drip Irrigation,1.5
Maize,2.25,23-06-2025,Laterite,Biofertilizers,Sprinkler Irrigation,3.647
Wheat,2,10-12-2023,Loamy,NPK,Rainfed,3.372
Soybean,0.24,28-06-2024,Chalky,DAP,Furrow/Canal irrigation,0.915
Soybean,2.77,13-06-2025,Alluvial,DAP,Drip Irrigation,1.275
Maize,1.54,26-09-2025,Peaty,MOP,Flood Irrigation,3.226
Onion,0.28,13-10-2025,Loamy,MOP,Flood Irrigation,24.578
Rice,2.62,05-06-2025,Alluvial,DAP,Drip Irrigation,5.125
Maize,0.8,11-06-2025,Loamy,DAP,Rainfed,4.004
Wheat,0.96,16-11-2024,Clay,Compost/Organic Manure,Rainfed,2.713
Cotton,0.51,26-06-2024,Peaty,Ammonium Sulphate,Furrow/Canal irrigation,0.496
Potato,0.48,03-11-2025,Sandy,Compost/Organic Manure,Flood Irrigation,20.077
Onion,2.99,23-04-2024,Loamy,Urea,Sprinkler Irrigation,26.034
Onion,0.72,18-06-2024,Alluvial,NPK,Rainfed,23.949
Groundnut,1.06,01-05-2024,Alluvial,DAP,Furrow/Canal irrigation,1.683
Soybean,0.56,16-06-2025,Silty,Ammonium Sulphate,Furrow/Canal irrigation,1.132
Maize,3.08,06-10-2025,Laterite,DAP,Flood Irrigation,3.136
Wheat,2.17,15-11-2024,Alluvial,MOP,Sprinkler Irrigation,3.43
Cotton,7.01,06-05-2025,Loamy,Urea,Flood Irrigation,0.519
Rice,3.31,18-06-2024,Chalky,Ammonium Sulphate,Furrow/Canal irrigation,4.66
Rice,2.86,18-06-2025,Loamy,Biofertilizers,Flood Irrigation,5.287
Maize,3.44,05-07-2025,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,3.086
Wheat,0.93,25-11-2024,Alluvial,MOP,Sprinkler Irrigation,3.656
Cotton,5.36,24-04-2024,Clay,Urea,Rainfed,0.379
Rice,1.23,15-06-2024,Loamy,DAP,Rainfed,3.984
Rice,1.26,07-07-2025,Sandy,NPK,Rainfed,3.767
Sugarcane,0.65,07-11-2025,Clay,MOP,Rainfed,73.254
Rice,0.36,12-07-2024,Clay,Urea,Flood Irrigation,4.279
Wheat,2.18,07-10-2025,Laterite,NPK,Furrow/Canal irrigation,3.111
Potato,0.77,24-07-2024,Alluvial,Urea,Rainfed,22.755
Rice,3.85,03-07-2024,Alluvial,MOP,Flood Irrigation,4.723
Rice,5.12,23-07-2024,Silty,Biofertilizers,Sprinkler Irrigation,5.13
Potato,1.33,27-06-2025,Laterite,Compost/Organic Manure,Flood Irrigation,19.028
Cotton,3.79,05-04-2024,Loamy,Biofertilizers,Furrow/Canal irrigation,0.554
Maize,2.24,23-10-2024,Silty,Urea,Furrow/Canal irrigation,4.161
Maize,0.49,19-07-2025,Clay,NPK,Flood Irrigation,3.661
Sugarcane,5.64,28-10-2024,Loamy,MOP,Sprinkler Irrigation,103.906
Maize,0.19,09-06-2024,Loamy,MOP,Furrow/Canal irrigation,4.069
Rice,2.69,17-06-2025,Loamy,MOP,Furrow/Canal irrigation,4.943
Soybean,3.51,27-06-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,1.092
Sugarcane,3.77,12-02-2024,Laterite,Urea,Rainfed,62.105
Maize,2.74,04-09-2024,Loamy,NPK,Furrow/Canal irrigation,4.949
Potato,1.52,14-01-2025,Clay,Urea,Furrow/Canal irrigation,24.993
Onion,0.81,05-11-2024,Laterite,Compost/Organic Manure,Rainfed,21.228
Groundnut,4.23,01-06-2024,Laterite,Urea,Sprinkler Irrigation,1.443
Sugarcane,2.12,05-10-2024,Alluvial,NPK,Furrow/Canal irrigation,98.618
Rice,1.34,02-07-2025,Loamy,Urea,Rainfed,4.54
Soybean,0.12,02-06-2024,Sandy,Ammonium Sulphate,Furrow/Canal irrigation,1.026
Groundnut,9.71,06-05-2025,Peaty,Urea,Sprinkler Irrigation,1.308
Groundnut,0.31,12-06-2025,Loamy,NPK,Furrow/Canal irrigation,1.733
Wheat,0.56,25-12-2023,Sandy,DAP,Sprinkler Irrigation,2.989
Wheat,1.72,07-10-2025,Alluvial,Compost/Organic Manure,Rainfed,3.113
Sugarcane,0.52,06-10-2024,Laterite,Biofertilizers,Rainfed,78.686
Cotton,0.98,04-06-2024,Clay,NPK,Rainfed,0.42
Maize,0.11,03-09-2025,Loamy,Urea,Flood Irrigation,4.397
Soybean,2.96,08-06-2025,Silty,DAP,Furrow/Canal irrigation,1.024
Rice,0.42,22-07-2025,Loamy,Urea,Rainfed,4.001
Sugarcane,0.83,22-02-2025,Sandy,Urea,Flood Irrigation,72.643
Soybean,2.66,03-06-2025,Loamy,DAP,Sprinkler Irrigation,1.082
Potato,4.45,24-07-2024,Clay,Compost/Organic Manure,Furrow/Canal irrigation,19.45
Soybean,1.16,16-06-2024,Clay,Urea,Rainfed,0.997
Rice,2.48,01-06-2024,Sandy,Urea,Drip Irrigation,4.902
Sugarcane,0.3,05-11-2024,Loamy,MOP,Furrow/Canal irrigation,95.554
Sugarcane,1.87,10-12-2025,Silty,NPK,Flood Irrigation,108.557
Wheat,0.23,14-10-2025,Alluvial,Urea,Rainfed,2.959
Potato,1.83,06-06-2024,Silty,Compost/Organic Manure,Flood Irrigation,26.156
Sugarcane,1.95,23-01-2025,Clay,Compost/Organic Manure,Rainfed,85.079
Maize,2.36,17-09-2024,Sandy,DAP,Rainfed,2.695
Maize,3.59,11-10-2025,Sandy,MOP,Sprinkler Irrigation,3.697
Maize,1.48,13-07-2025,Sandy,DAP,Flood Irrigation,3.567
Maize,2.56,19-07-2024,Sandy,Ammonium Sulphate,Furrow/Canal irrigation,3.178
Rice,3.21,02-07-2023,Clay,Compost/Organic Manure,Rainfed,2.669
Potato,0.42,19-07-2023,Sandy,DAP,Rainfed,19.45
Wheat,0.9,23-10-2025,Peaty,DAP,Rainfed,2.408
Groundnut,0.6,12-06-2024,Alluvial,DAP,Rainfed,1.312
Onion,1.92,07-06-2025,Loamy,Urea,Furrow/Canal irrigation,26.734
Maize,1.19,23-06-2025,Alluvial,Urea,Flood Irrigation,4.081
Rice,2.12,26-07-2024,Sandy,Compost/Organic Manure,Rainfed,3.196
Wheat,1.15,09-11-2024,Silty,NPK,Furrow/Canal irrigation,3.543
Rice,3.76,19-06-2025,Clay,Ammonium Sulphate,Furrow/Canal irrigation,4.785
Onion,1.87,19-11-2025,Laterite,Urea,Sprinkler Irrigation,19.91
Maize,0.51,28-07-2024,Clay,DAP,Furrow/Canal irrigation,3.315
Rice,0.15,27-07-2025,Loamy,Urea,Rainfed,3.978
Wheat,0.15,01-10-2024,Loamy,Compost/Organic Manure,Rainfed,2.873
Cotton,1.56,07-04-2024,Loamy,Urea,Flood Irrigation,0.541
Potato,0.81,24-01-2025,Clay,Urea,Furrow/Canal irrigation,24.918
Rice,3.79,12-07-2025,Peaty,Compost/Organic Manure,Flood Irrigation,3.929
Potato,0.51,17-10-2024,Silty,MOP,Furrow/Canal irrigation,23.862
Cotton,1.42,20-05-2025,Loamy,Compost/Organic Manure,Flood Irrigation,0.55
Soybean,0.39,14-06-2025,Loamy,Urea,Sprinkler Irrigation,1.256
Wheat,1.47,02-12-2024,Clay,NPK,Furrow/Canal irrigation,3.149
Wheat,1.25,09-10-2024,Alluvial,Biofertilizers,Flood Irrigation,3.456
Groundnut,0.45,27-05-2023,Laterite,Compost/Organic Manure,Drip Irrigation,1.472
Onion,1.98,10-05-2024,Silty,Ammonium Sulphate,Furrow/Canal irrigation,25.116
Sugarcane,2.24,01-11-2025,Alluvial,NPK,Furrow/Canal irrigation,98.951
Wheat,6.38,10-10-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,3.306
Soybean,0.67,28-06-2025,Sandy,Compost/Organic Manure,Rainfed,0.709
Groundnut,4.83,27-05-2025,Loamy,DAP,Drip Irrigation,1.59
Maize,2.95,25-09-2024,Sandy,MOP,Rainfed,2.472
Potato,1.29,21-10-2023,Loamy,MOP,Drip Irrigation,26.574
Wheat,0.23,14-12-2025,Laterite,DAP,Rainfed,2.577
Groundnut,4.84,26-06-2024,Loamy,Urea,Flood Irrigation,1.493
Maize,1.16,01-09-2025,Alluvial,Biofertilizers,Rainfed,3.078
Soybean,0.95,09-06-2025,Chalky,Urea,Flood Irrigation,0.96
Maize,1.74,06-10-2024,Alluvial,Urea,Rainfed,3.559
Maize,5.62,04-10-2025,Loamy,DAP,Furrow/Canal irrigation,4.239
Potato,0.7,13-07-2024,Loamy,Compost/Organic Manure,Rainfed,20.937
Onion,2.72,14-10-2025,Loamy,Compost/Organic Manure,Drip Irrigation,25.546
Onion,1.77,12-04-2025,Silty,MOP,Drip Irrigation,26.958
Maize,1.35,22-10-2025,Loamy,NPK,Rainfed,3.732
Soybean,0.96,02-06-2023,Loamy,DAP,Furrow/Canal irrigation,1.238
Onion,0.34,20-06-2023,Clay,Biofertilizers,Rainfed,17.729
Rice,0.68,06-07-2025,Clay,Biofertilizers,Furrow/Canal irrigation,4.108
Rice,3.9,05-07-2025,Loamy,DAP,Furrow/Canal irrigation,5.488
Maize,0.34,10-10-2025,Alluvial,DAP,Furrow/Canal irrigation,4.911
Onion,4.03,11-10-2024,Laterite,NPK,Furrow/Canal irrigation,22.58
Cotton,2.56,02-05-2023,Loamy,Urea,Flood Irrigation,0.518
Sugarcane,1.67,02-01-2025,Clay,Biofertilizers,Rainfed,70.838
Maize,1.43,04-06-2025,Loamy,DAP,Flood Irrigation,3.793
Potato,0.46,19-02-2025,Alluvial,MOP,Rainfed,20.771
Onion,1.16,08-04-2024,Laterite,Ammonium Sulphate,Furrow/Canal irrigation,25.538
Rice,2.21,27-06-2024,Loamy,Urea,Rainfed,4.136
Sugarcane,1.54,20-01-2025,Silty,DAP,Drip Irrigation,104.202
Soybean,3.38,07-06-2024,Alluvial,Compost/Organic Manure,Flood Irrigation,1.038
Potato,3.19,03-02-2023,Clay,Urea,Furrow/Canal irrigation,22.996
Potato,0.55,06-10-2023,Clay,NPK,Rainfed,18.772
Onion,0.9,26-05-2024,Clay,Compost/Organic Manure,Flood Irrigation,20.222
Sugarcane,2.93,27-10-2024,Loamy,DAP,Rainfed,78.566
Maize,4.3,03-10-2025,Laterite,Compost/Organic Manure,Rainfed,2.897
Maize,4.33,15-10-2023,Peaty,MOP,Rainfed,2.804
Onion,1.3,03-05-2024,Alluvial,NPK,Sprinkler Irrigation,28.4
Rice,8.5,10-07-2025,Silty,NPK,Furrow/Canal irrigation,4.952
Cotton,4.9,22-07-2024,Laterite,Compost/Organic Manure,Flood Irrigation,0.392
Soybean,1.65,06-06-2024,Laterite,Compost/Organic Manure,Drip Irrigation,0.992
Maize,2.24,25-10-2024,Peaty,MOP,Flood Irrigation,3.288
Onion,3.55,24-04-2024,Alluvial,DAP,Rainfed,24.745
Maize,6.78,01-06-2023,Loamy,NPK,Rainfed,3.586
Potato,0.56,10-02-2025,Silty,Biofertilizers,Flood Irrigation,19.438
Sugarcane,3.25,05-12-2025,Loamy,DAP,Furrow/Canal irrigation,104.214
Sugarcane,1.82,16-10-2025,Silty,MOP,Rainfed,87.129
Soybean,1.11,05-06-2023,Clay,Urea,Sprinkler Irrigation,1.133
Rice,5.03,01-07-2025,Alluvial,MOP,Sprinkler Irrigation,4.686
Cotton,2.48,04-04-2023,Silty,Compost/Organic Manure,Furrow/Canal irrigation,0.499
Potato,3.25,02-02-2025,Clay,NPK,Rainfed,21.488
Soybean,4.83,17-06-2024,Sandy,MOP,Rainfed,0.746
Wheat,0.75,16-10-2025,Silty,MOP,Rainfed,2.659
Maize,4.59,16-06-2024,Loamy,DAP,Sprinkler Irrigation,4.231
Potato,2.22,05-07-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,23.629
Maize,2.01,20-09-2025,Loamy,Ammonium Sulphate,Drip Irrigation,4.084
Maize,0.27,04-07-2024,Laterite,Biofertilizers,Rainfed,2.889
Wheat,1.51,09-11-2025,Loamy,Urea,Furrow/Canal irrigation,3.658
Potato,6.93,14-11-2025,Sandy,DAP,Rainfed,18.726
Maize,2.3,25-09-2025,Alluvial,DAP,Sprinkler Irrigation,4.292
Sugarcane,2.11,26-11-2025,Clay,Compost/Organic Manure,Drip Irrigation,85.415
Rice,0.13,17-06-2025,Sandy,MOP,Furrow/Canal irrigation,3.951
Onion,1.74,15-06-2025,Laterite,NPK,Furrow/Canal irrigation,26.256
Rice,4.52,04-06-2024,Alluvial,NPK,Flood Irrigation,4.964
Groundnut,0.27,11-06-2025,Loamy,Urea,Flood Irrigation,1.398
Groundnut,4.01,05-05-2024,Laterite,NPK,Furrow/Canal irrigation,1.427
Rice,3.52,15-07-2024,Alluvial,NPK,Rainfed,5.035
Onion,0.85,23-10-2024,Laterite,Biofertilizers,Drip Irrigation,23.937
Wheat,1.37,25-11-2024,Sandy,Biofertilizers,Sprinkler Irrigation,2.9
Cotton,0.99,24-06-2024,Laterite,Compost/Organic Manure,Drip Irrigation,0.529
Wheat,1.46,21-11-2025,Loamy,NPK,Furrow/Canal irrigation,3.57
Sugarcane,0.48,13-02-2025,Laterite,Compost/Organic Manure,Drip Irrigation,97.7
Cotton,2.59,17-05-2025,Alluvial,DAP,Drip Irrigation,0.551
Cotton,0.96,01-05-2025,Sandy,Compost/Organic Manure,Rainfed,0.336
Wheat,1.3,04-12-2025,Laterite,Compost/Organic Manure,Flood Irrigation,2.973
Cotton,2.04,15-04-2023,Loamy,Compost/Organic Manure,Rainfed,0.495
Onion,0.97,22-05-2024,Laterite,Compost/Organic Manure,Rainfed,17.859
Groundnut,7.84,27-05-2024,Laterite,NPK,Sprinkler Irrigation,1.557
Maize,2.11,14-09-2023,Alluvial,NPK,Rainfed,3.744
Maize,0.89,28-10-2025,Loamy,NPK,Rainfed,3.489
Maize,2.42,27-10-2025,Loamy,NPK,Rainfed,3.597
Maize,3.73,16-07-2025,Sandy,Urea,Rainfed,2.982
Onion,0.75,04-05-2025,Loamy,MOP,Drip Irrigation,29.922
Rice,1.54,10-07-2024,Loamy,Urea,Sprinkler Irrigation,5.614
Groundnut,0.83,10-06-2023,Loamy,Compost/Organic Manure,Rainfed,1.407
Rice,5.67,14-06-2023,Clay,DAP,Rainfed,3.377
Wheat,4.2,27-12-2024,Silty,Compost/Organic Manure,Rainfed,2.964
Maize,2.29,28-09-2025,Laterite,Urea,Rainfed,3.162
Soybean,0.7,11-06-2024,Silty,Biofertilizers,Furrow/Canal irrigation,1.112
Groundnut,1.74,19-05-2025,Silty,Compost/Organic Manure,Flood Irrigation,1.42
Soybean,0.34,19-06-2024,Silty,Compost/Organic Manure,Rainfed,0.794
Rice,4.1,26-07-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,4.198
Cotton,1.68,13-06-2025,Silty,NPK,Furrow/Canal irrigation,0.531
Wheat,0.33,11-12-2024,Clay,Urea,Furrow/Canal irrigation,3.135
Cotton,1.2,25-06-2024,Sandy,DAP,Flood Irrigation,0.411
Rice,4.01,10-06-2024,Clay,DAP,Flood Irrigation,4.393
Wheat,0.79,02-10-2025,Loamy,Compost/Organic Manure,Rainfed,3.047
Maize,3.37,02-10-2025,Loamy,NPK,Drip Irrigation,4.674
Rice,0.14,09-06-2025,Silty,MOP,Drip Irrigation,5.317
Groundnut,0.76,15-06-2024,Sandy,MOP,Sprinkler Irrigation,1.232
Onion,4.22,26-10-2025,Loamy,Biofertilizers,Furrow/Canal irrigation,26.118
Cotton,1.66,27-07-2023,Silty,MOP,Sprinkler Irrigation,0.49
Rice,0.3,27-07-2024,Peaty,Biofertilizers,Furrow/Canal irrigation,3.567
Wheat,1.92,18-12-2023,Silty,DAP,Flood Irrigation,3.169
Rice,0.81,14-07-2025,Loamy,NPK,Furrow/Canal irrigation,5.585
Potato,0.2,09-07-2025,Loamy,Biofertilizers,Flood Irrigation,22.679
Maize,4.76,21-09-2023,Alluvial,MOP,Drip Irrigation,4.425
Rice,1.9,25-07-2024,Clay,Urea,Furrow/Canal irrigation,4.768
Sugarcane,4.56,22-11-2025,Loamy,Biofertilizers,Flood Irrigation,98.493
Soybean,0.17,04-06-2024,Clay,Biofertilizers,Rainfed,0.788
Wheat,1.85,23-12-2025,Loamy,Urea,Rainfed,2.914
Wheat,3.66,12-11-2024,Sandy,NPK,Rainfed,2.529
Soybean,1.93,04-06-2024,Alluvial,MOP,Rainfed,1.001
Cotton,3.64,24-05-2023,Sandy,DAP,Rainfed,0.392
Wheat,4.32,01-12-2024,Alluvial,Ammonium Sulphate,Rainfed,3.127
Wheat,1.23,21-11-2023,Peaty,MOP,Furrow/Canal irrigation,3.645
Wheat,0.86,17-12-2024,Clay,NPK,Furrow/Canal irrigation,3.594
Potato,1.94,18-11-2023,Clay,Urea,Sprinkler Irrigation,23.36
Rice,4.56,23-06-2025,Clay,Urea,Flood Irrigation,4.923
Rice,2.1,01-06-2023,Clay,Compost/Organic Manure,Rainfed,3.234
Soybean,1.89,04-06-2025,Clay,Biofertilizers,Furrow/Canal irrigation,0.929
Potato,1.54,25-01-2025,Silty,NPK,Drip Irrigation,28.658
Maize,0.32,02-06-2023,Clay,Compost/Organic Manure,Rainfed,2.903
Groundnut,2.21,02-06-2025,Loamy,MOP,Drip Irrigation,1.375
Sugarcane,6.11,13-11-2024,Sandy,Compost/Organic Manure,Flood Irrigation,86.558
Soybean,1.51,26-06-2024,Clay,MOP,Drip Irrigation,1.149
Sugarcane,2.11,19-11-2024,Loamy,Urea,Rainfed,86.832
Rice,1,21-06-2025,Clay,DAP,Rainfed,3.72
Soybean,1.38,02-06-2024,Loamy,MOP,Rainfed,0.982
Sugarcane,0.54,25-02-2025,Loamy,NPK,Rainfed,76.039
Wheat,1.99,22-12-2025,Loamy,DAP,Furrow/Canal irrigation,3.415
Cotton,1.55,07-05-2024,Silty,DAP,Drip Irrigation,0.525
Rice,0.11,20-07-2025,Chalky,Compost/Organic Manure,Rainfed,3.769
Wheat,1.8,04-10-2024,Clay,Compost/Organic Manure,Drip Irrigation,3.161
Wheat,1.54,08-12-2025,Clay,DAP,Rainfed,2.761
Groundnut,1.11,07-06-2025,Clay,Compost/Organic Manure,Drip Irrigation,1.411
Rice,0.28,05-06-2023,Loamy,DAP,Rainfed,4.119
Groundnut,0.95,07-05-2025,Loamy,DAP,Flood Irrigation,1.523
Rice,1.52,06-06-2024,Alluvial,Biofertilizers,Drip Irrigation,5.179
Sugarcane,2.52,11-12-2025,Alluvial,DAP,Flood Irrigation,103.368
Potato,9.97,23-02-2024,Sandy,Urea,Furrow/Canal irrigation,21.078
Potato,1.1,11-11-2025,Silty,Biofertilizers,Flood Irrigation,21.511
Rice,1.2,26-07-2025,Loamy,DAP,Rainfed,4.703
Wheat,2.6,16-12-2025,Loamy,Urea,Rainfed,3.046
Sugarcane,1.97,25-11-2024,Alluvial,Compost/Organic Manure,Flood Irrigation,98.914
Cotton,6.3,17-06-2024,Chalky,Compost/Organic Manure,Rainfed,0.345
Wheat,3.54,21-12-2025,Sandy,DAP,Sprinkler Irrigation,3.125
Potato,2.42,13-07-2024,Silty,Biofertilizers,Flood Irrigation,21.578
Cotton,0.34,15-06-2025,Clay,DAP,Drip Irrigation,0.483
Cotton,1.02,14-07-2024,Clay,Compost/Organic Manure,Flood Irrigation,0.352
Maize,0.36,21-07-2024,Sandy,Compost/Organic Manure,Flood Irrigation,3.541
Cotton,0.25,04-05-2025,Sandy,NPK,Rainfed,0.36
Wheat,0.27,27-12-2024,Laterite,Compost/Organic Manure,Sprinkler Irrigation,3.213
Soybean,2.31,01-06-2025,Laterite,DAP,Flood Irrigation,0.957
Onion,2.37,16-10-2025,Silty,Biofertilizers,Furrow/Canal irrigation,26.05
Potato,0.12,16-10-2024,Loamy,MOP,Rainfed,18.948
Maize,2.12,11-09-2024,Alluvial,NPK,Furrow/Canal irrigation,4.293
Maize,4.24,12-09-2024,Loamy,Compost/Organic Manure,Flood Irrigation,4.098
Groundnut,2.67,11-06-2025,Loamy,NPK,Furrow/Canal irrigation,1.605
Groundnut,0.41,19-05-2024,Laterite,Biofertilizers,Sprinkler Irrigation,1.249
Onion,0.12,13-11-2025,Loamy,NPK,Rainfed,20.333
Rice,1.43,21-07-2024,Alluvial,Urea,Drip Irrigation,5.136
Cotton,1.82,01-07-2025,Loamy,Urea,Furrow/Canal irrigation,0.469
Wheat,2.71,03-12-2024,Clay,NPK,Drip Irrigation,3.656
Wheat,2.21,05-10-2024,Silty,NPK,Drip Irrigation,3.833
Onion,1.22,10-04-2024,Clay,Ammonium Sulphate,Rainfed,20.408
Soybean,2.34,09-06-2025,Loamy,Biofertilizers,Rainfed,0.914
Potato,3.21,19-02-2025,Alluvial,NPK,Rainfed,20.954
Groundnut,1.28,12-06-2025,Chalky,Compost/Organic Manure,Flood Irrigation,1.238
Soybean,4,20-06-2024,Laterite,NPK,Furrow/Canal irrigation,1.089
Rice,5.07,08-06-2024,Alluvial,Urea,Furrow/Canal irrigation,4.439
Cotton,1.85,16-05-2025,Clay,Compost/Organic Manure,Sprinkler Irrigation,0.452
Maize,1.03,14-07-2025,Clay,DAP,Rainfed,3.559
Maize,2.43,13-07-2025,Loamy,NPK,Sprinkler Irrigation,4.663
Rice,1.04,11-06-2024,Peaty,NPK,Rainfed,3.696
Rice,0.41,05-07-2025,Clay,DAP,Sprinkler Irrigation,4.262
Potato,4.52,04-02-2024,Silty,NPK,Drip Irrigation,25.583
Groundnut,0.15,06-06-2024,Loamy,Urea,Rainfed,1.294
Wheat,2.18,21-12-2025,Silty,Ammonium Sulphate,Drip Irrigation,3.231
Sugarcane,0.25,02-12-2023,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,92.401
